"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","workerId","interview_date","handedness","version","difficulty","max_strikes","max_streaks","index","deck_contingencies","streak","strike","key_press","reward_type","reversal_type","reward_tally","rating_random","rating_sabotage"
"329","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","133","97456","0.0-9.0-2.38","333","02/20/2024","","sabotage","easy-hard","2","9","39","[0.9,0.5,0.1]","7","2","49","","false","2550","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","134","97958","0.0-9.0-0.39","","","","","","","","","","","","","","","","",""
"513","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","135","98472","0.0-9.0-1.39","","","","","","","","","","","","","","","","",""
"513","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","136","99476","0.0-9.0-2.39","333","02/20/2024","","sabotage","easy-hard","2","9","40","[0.9,0.5,0.1]","8","2","49","","false","2650","",""
"1821","You are 25% done with the experiment. Please press the (0) key to proceed.","0","html-keyboard-response","137","101297","0.0-9.0-3.39-0.39","","","","","","","","","","","","","","","","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","138","101800","0.0-9.0-0.40","","","","","","","","","","","","","","","","",""
"344","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","139","102146","0.0-9.0-1.40","","","","","","","","","","","","","","","","",""
"344","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","140","103149","0.0-9.0-2.40","333","02/20/2024","","sabotage","easy-hard","2","9","41","[0.9,0.5,0.1]","1","0","51","","true","2750","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","141","103649","0.0-9.0-0.41","","","","","","","","","","","","","","","","",""
"248","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","142","103900","0.0-9.0-1.41","","","","","","","","","","","","","","","","",""
"248","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","143","104904","0.0-9.0-2.41","333","02/20/2024","","sabotage","easy-hard","2","9","42","[0.9,0.5,0.1]","2","0","51","","false","2850","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","144","105406","0.0-9.0-0.42","","","","","","","","","","","","","","","","",""
"279","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","145","105687","0.0-9.0-1.42","","","","","","","","","","","","","","","","",""
"279","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","146","106690","0.0-9.0-2.42","333","02/20/2024","","sabotage","easy-hard","2","9","43","[0.9,0.5,0.1]","3","0","51","","false","2950","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","147","107192","0.0-9.0-0.43","","","","","","","","","","","","","","","","",""
"223","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","148","107416","0.0-9.0-1.43","","","","","","","","","","","","","","","","",""
"223","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","149","108420","0.0-9.0-2.43","333","02/20/2024","","sabotage","easy-hard","2","9","44","[0.9,0.5,0.1]","4","0","51","","false","3050","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","150","108921","0.0-9.0-0.44","","","","","","","","","","","","","","","","",""
"203","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","151","109126","0.0-9.0-1.44","","","","","","","","","","","","","","","","",""
"203","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","152","110130","0.0-9.0-2.44","333","02/20/2024","","sabotage","easy-hard","2","9","45","[0.9,0.5,0.1]","5","0","51","","false","3150","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","153","110632","0.0-9.0-0.45","","","","","","","","","","","","","","","","",""
"226","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","154","110860","0.0-9.0-1.45","","","","","","","","","","","","","","","","",""
"226","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","155","111864","0.0-9.0-2.45","333","02/20/2024","","sabotage","easy-hard","2","9","46","[0.9,0.5,0.1]","6","0","51","","false","3250","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","156","112365","0.0-9.0-0.46","","","","","","","","","","","","","","","","",""
"211","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","157","112578","0.0-9.0-1.46","","","","","","","","","","","","","","","","",""
"211","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","158","113581","0.0-9.0-2.46","333","02/20/2024","","sabotage","easy-hard","2","9","47","[0.9,0.5,0.1]","7","0","51","","false","3350","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","159","114083","0.0-9.0-0.47","","","","","","","","","","","","","","","","",""
"225","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","160","114310","0.0-9.0-1.47","","","","","","","","","","","","","","","","",""
"225","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","161","115313","0.0-9.0-2.47","333","02/20/2024","","sabotage","easy-hard","2","9","48","[0.9,0.5,0.1]","8","0","51","","false","3450","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","162","115816","0.0-9.0-0.48","","","","","","","","","","","","","","","","",""
"210","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","163","116029","0.0-9.0-1.48","","","","","","","","","","","","","","","","",""
"210","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_lose.jpg'>
                </div>","3","html-keyboard-response","164","117032","0.0-9.0-2.48","333","02/20/2024","","sabotage","easy-hard","2","9","49","[0.9,0.5,0.1]","0","0","51","","false","3400","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","165","117533","0.0-9.0-0.49","","","","","","","","","","","","","","","","",""
"187","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","166","117723","0.0-9.0-1.49","","","","","","","","","","","","","","","","",""
"187","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","167","118727","0.0-9.0-2.49","333","02/20/2024","","sabotage","easy-hard","2","9","50","[0.9,0.5,0.1]","1","0","50","","false","3500","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","168","119229","0.0-9.0-0.50","","","","","","","","","","","","","","","","",""
"188","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","169","119419","0.0-9.0-1.50","","","","","","","","","","","","","","","","",""
"188","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","170","120423","0.0-9.0-2.50","333","02/20/2024","","sabotage","easy-hard","2","9","51","[0.9,0.5,0.1]","2","0","50","","false","3450","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","171","120924","0.0-9.0-0.51","","","","","","","","","","","","","","","","",""
"220","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","172","121147","0.0-9.0-1.51","","","","","","","","","","","","","","","","",""
"220","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","173","122151","0.0-9.0-2.51","333","02/20/2024","","sabotage","easy-hard","2","9","52","[0.9,0.5,0.1]","2","1","49","","false","3400","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","174","122653","0.0-9.0-0.52","","","","","","","","","","","","","","","","",""
"241","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","175","122895","0.0-9.0-1.52","","","","","","","","","","","","","","","","",""
"241","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","176","123898","0.0-9.0-2.52","333","02/20/2024","","sabotage","easy-hard","2","9","53","[0.9,0.5,0.1]","2","2","51","","false","3500","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","177","124400","0.0-9.0-0.53","","","","","","","","","","","","","","","","",""
"326","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","178","124729","0.0-9.0-1.53","","","","","","","","","","","","","","","","",""
"326","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","179","125732","0.0-9.0-2.53","333","02/20/2024","","sabotage","easy-hard","2","9","54","[0.9,0.5,0.1]","0","0","51","","false","3600","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","180","126233","0.0-9.0-0.54","","","","","","","","","","","","","","","","",""
"216","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","181","126452","0.0-9.0-1.54","","","","","","","","","","","","","","","","",""
"216","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","182","127456","0.0-9.0-2.54","333","02/20/2024","","sabotage","easy-hard","2","9","55","[0.9,0.5,0.1]","0","1","51","","false","3700","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","183","127957","0.0-9.0-0.55","","","","","","","","","","","","","","","","",""
"269","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","184","128229","0.0-9.0-1.55","","","","","","","","","","","","","","","","",""
"269","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_lose.jpg'>
                </div>","3","html-keyboard-response","185","129232","0.0-9.0-2.55","333","02/20/2024","","sabotage","easy-hard","2","9","56","[0.9,0.5,0.1]","0","2","51","","false","3650","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","186","129734","0.0-9.0-0.56","","","","","","","","","","","","","","","","",""
"286","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","187","130022","0.0-9.0-1.56","","","","","","","","","","","","","","","","",""
"286","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","188","131025","0.0-9.0-2.56","333","02/20/2024","","sabotage","easy-hard","2","9","57","[0.9,0.5,0.1]","1","2","50","","false","3750","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","189","131527","0.0-9.0-0.57","","","","","","","","","","","","","","","","",""
"214","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","190","131743","0.0-9.0-1.57","","","","","","","","","","","","","","","","",""
"214","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","191","132747","0.0-9.0-2.57","333","02/20/2024","","sabotage","easy-hard","2","9","58","[0.9,0.5,0.1]","2","2","50","","false","3850","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","192","133248","0.0-9.0-0.58","","","","","","","","","","","","","","","","",""
"220","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","193","133471","0.0-9.0-1.58","","","","","","","","","","","","","","","","",""
"220","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","194","134475","0.0-9.0-2.58","333","02/20/2024","","sabotage","easy-hard","2","9","59","[0.9,0.5,0.1]","3","2","50","","false","3950","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","195","134977","0.0-9.0-0.59","","","","","","","","","","","","","","","","",""
"150","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","196","135129","0.0-9.0-1.59","","","","","","","","","","","","","","","","",""
"150","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","197","136133","0.0-9.0-2.59","333","02/20/2024","","sabotage","easy-hard","2","9","60","[0.9,0.5,0.1]","4","2","50","","false","4050","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","198","136634","0.0-9.0-0.60","","","","","","","","","","","","","","","","",""
"223","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","199","136859","0.0-9.0-1.60","","","","","","","","","","","","","","","","",""
"223","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","200","137863","0.0-9.0-2.60","333","02/20/2024","","sabotage","easy-hard","2","9","61","[0.9,0.5,0.1]","5","2","50","","false","4150","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","201","138366","0.0-9.0-0.61","","","","","","","","","","","","","","","","",""
"213","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","202","138581","0.0-9.0-1.61","","","","","","","","","","","","","","","","",""
"213","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","203","139584","0.0-9.0-2.61","333","02/20/2024","","sabotage","easy-hard","2","9","62","[0.9,0.5,0.1]","6","2","50","","false","4250","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","204","140086","0.0-9.0-0.62","","","","","","","","","","","","","","","","",""
"204","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","205","140292","0.0-9.0-1.62","","","","","","","","","","","","","","","","",""
"204","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","206","141296","0.0-9.0-2.62","333","02/20/2024","","sabotage","easy-hard","2","9","63","[0.9,0.5,0.1]","7","2","50","","false","4350","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","207","141797","0.0-9.0-0.63","","","","","","","","","","","","","","","","",""
"608","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","208","142662","0.0-9.0-1.63","","","","","","","","","","","","","","","","",""
"608","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","209","143664","0.0-9.0-2.63","333","02/20/2024","","sabotage","easy-hard","2","9","64","[0.9,0.5,0.1]","8","2","50","","false","4450","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","210","144166","0.0-9.0-0.64","","","","","","","","","","","","","","","","",""
"252","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","211","144421","0.0-9.0-1.64","","","","","","","","","","","","","","","","",""
"252","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","212","145425","0.0-9.0-2.64","333","02/20/2024","","sabotage","easy-hard","2","9","65","[0.9,0.5,0.1]","0","0","50","","false","4550","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","213","145926","0.0-9.0-0.65","","","","","","","","","","","","","","","","",""
"221","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","214","146149","0.0-9.0-1.65","","","","","","","","","","","","","","","","",""
"221","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","215","147153","0.0-9.0-2.65","333","02/20/2024","","sabotage","easy-hard","2","9","66","[0.9,0.5,0.1]","0","1","50","","false","4650","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","216","147655","0.0-9.0-0.66","","","","","","","","","","","","","","","","",""
"189","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","217","147846","0.0-9.0-1.66","","","","","","","","","","","","","","","","",""
"189","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","218","148850","0.0-9.0-2.66","333","02/20/2024","","sabotage","easy-hard","2","9","67","[0.9,0.5,0.1]","0","2","50","","false","4600","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","219","149352","0.0-9.0-0.67","","","","","","","","","","","","","","","","",""
"223","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","220","149577","0.0-9.0-1.67","","","","","","","","","","","","","","","","",""
"223","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","221","150581","0.0-9.0-2.67","333","02/20/2024","","sabotage","easy-hard","2","9","68","[0.9,0.5,0.1]","1","2","51","","false","4700","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","222","151083","0.0-9.0-0.68","","","","","","","","","","","","","","","","",""
"218","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","223","151303","0.0-9.0-1.68","","","","","","","","","","","","","","","","",""
"218","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","224","152306","0.0-9.0-2.68","333","02/20/2024","","sabotage","easy-hard","2","9","69","[0.9,0.5,0.1]","0","0","49","","false","4650","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","225","152808","0.0-9.0-0.69","","","","","","","","","","","","","","","","",""
"237","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","226","153047","0.0-9.0-1.69","","","","","","","","","","","","","","","","",""
"237","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","227","154052","0.0-9.0-2.69","333","02/20/2024","","sabotage","easy-hard","2","9","70","[0.9,0.5,0.1]","1","0","51","","false","4750","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","228","154553","0.0-9.0-0.70","","","","","","","","","","","","","","","","",""
"302","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","229","154858","0.0-9.0-1.70","","","","","","","","","","","","","","","","",""
"302","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","230","155862","0.0-9.0-2.70","333","02/20/2024","","sabotage","easy-hard","2","9","71","[0.9,0.5,0.1]","2","0","51","","false","4850","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","231","156363","0.0-9.0-0.71","","","","","","","","","","","","","","","","",""
