"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","workerId","interview_date","handedness","version","difficulty","max_strikes","max_streaks","index","deck_contingencies","streak","strike","key_press","reward_type","reversal_type","reward_tally","rating_random","rating_sabotage"
"171","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","64","56177","0.0-9.0-2.15","333","02/20/2024","","sabotage","easy-hard","2","9","16","[0.9,0.5,0.1]","4","0","50","","false","1300","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","65","56679","0.0-9.0-0.16","","","","","","","","","","","","","","","","",""
"189","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","66","56870","0.0-9.0-1.16","","","","","","","","","","","","","","","","",""
"189","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","67","57874","0.0-9.0-2.16","333","02/20/2024","","sabotage","easy-hard","2","9","17","[0.9,0.5,0.1]","5","0","50","","false","1400","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","68","58376","0.0-9.0-0.17","","","","","","","","","","","","","","","","",""
"195","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","69","58572","0.0-9.0-1.17","","","","","","","","","","","","","","","","",""
"195","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","70","59576","0.0-9.0-2.17","333","02/20/2024","","sabotage","easy-hard","2","9","18","[0.9,0.5,0.1]","6","0","50","","false","1500","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","71","60078","0.0-9.0-0.18","","","","","","","","","","","","","","","","",""
"324","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","72","60686","0.0-9.0-1.18","","","","","","","","","","","","","","","","",""
"324","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","73","61690","0.0-9.0-2.18","333","02/20/2024","","sabotage","easy-hard","2","9","19","[0.9,0.5,0.1]","7","0","50","","false","1600","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","74","62191","0.0-9.0-0.19","","","","","","","","","","","","","","","","",""
"332","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","75","62525","0.0-9.0-1.19","","","","","","","","","","","","","","","","",""
"332","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","76","63528","0.0-9.0-2.19","333","02/20/2024","","sabotage","easy-hard","2","9","20","[0.9,0.5,0.1]","8","0","50","","false","1700","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","77","64029","0.0-9.0-0.20","","","","","","","","","","","","","","","","",""
"236","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","78","64268","0.0-9.0-1.20","","","","","","","","","","","","","","","","",""
